"Time","Observations","Pruning"
39.3420948982239,10,"100 nodes"
43.1349411010742,10,"100 nodes"
47.4291160106659,10,"100 nodes"
46.8498950004578,10,"100 nodes"
45.9215531349182,30,"100 nodes"
51.7954301834106,30,"100 nodes"
58.1424350738525,30,"100 nodes"
69.4320678710938,30,"100 nodes"
51.4032180309296,30,"100 nodes"
85.8424670696259,30,"100 nodes"
74.7249190807343,30,"100 nodes"
52.9151711463928,30,"100 nodes"
57.5309839248657,30,"100 nodes"
58.3857278823853,30,"100 nodes"
58.381884098053,30,"100 nodes"
54.3608989715576,30,"100 nodes"
56.5186400413513,30,"100 nodes"
51.8775320053101,30,"100 nodes"
68.3986120223999,30,"100 nodes"
55.6905500888824,30,"100 nodes"
64.7866270542145,30,"100 nodes"
58.8596940040588,30,"100 nodes"
68.7531490325928,30,"100 nodes"
73.3013620376587,30,"100 nodes"
102.854338169098,50,"100 nodes"
97.8120589256287,50,"100 nodes"
77.4654710292816,50,"100 nodes"
84.3463060855865,50,"100 nodes"
90.9579730033875,50,"100 nodes"
80.1790120601654,50,"100 nodes"
57.9516198635101,50,"100 nodes"
71.0019719600677,50,"100 nodes"
50.551971912384,50,"100 nodes"
79.0062539577484,50,"100 nodes"
52.0101249217987,50,"100 nodes"
65.4376909732819,50,"100 nodes"
49.5309269428253,50,"100 nodes"
79.910984992981,50,"100 nodes"
70.3656811714172,50,"100 nodes"
126.216419935226,50,"100 nodes"
56.2832138538361,50,"100 nodes"
77.0481441020966,50,"100 nodes"
63.3260388374329,50,"100 nodes"
67.8972628116608,50,"100 nodes"
22.2406868934631,10,"  90% mass"
20.0854840278625,10,"  90% mass"
23.7878041267395,10,"  90% mass"
21.8353478908539,10,"  90% mass"
24.172877073288,10,"  90% mass"
18.1553909778595,10,"  90% mass"
21.4351937770844,10,"  90% mass"
20.8236141204834,10,"  90% mass"
23.3683948516846,10,"  90% mass"
20.271399974823,10,"  90% mass"
18.7541148662567,10,"  90% mass"
22.7128481864929,10,"  90% mass"
19.4290609359741,10,"  90% mass"
20.4898200035095,10,"  90% mass"
18.3731400966644,10,"  90% mass"
22.014634847641,10,"  90% mass"
18.5578389167786,10,"  90% mass"
24.2320041656494,10,"  90% mass"
20.5792648792267,10,"  90% mass"
22.3730828762054,10,"  90% mass"
29.6355519294739,30,"  90% mass"
30.6051020622253,30,"  90% mass"
38.1979839801788,30,"  90% mass"
44.7110459804535,30,"  90% mass"
32.9355590343475,30,"  90% mass"
47.6430480480194,30,"  90% mass"
49.1241109371185,30,"  90% mass"
33.1326928138733,30,"  90% mass"
37.9648549556732,30,"  90% mass"
39.9365570545197,30,"  90% mass"
36.6464710235596,30,"  90% mass"
33.837012052536,30,"  90% mass"
34.7987420558929,30,"  90% mass"
33.9996008872986,30,"  90% mass"
47.0976369380951,30,"  90% mass"
36.3063118457794,30,"  90% mass"
38.4602241516113,30,"  90% mass"
38.3343050479889,30,"  90% mass"
42.5536570549011,30,"  90% mass"
41.1035439968109,30,"  90% mass"
84.3589251041412,50,"  90% mass"
75.5177330970764,50,"  90% mass"
57.9221630096436,50,"  90% mass"
72.5909969806671,50,"  90% mass"
70.9041020870209,50,"  90% mass"
65.1249980926514,50,"  90% mass"
42.2854170799255,50,"  90% mass"
54.7684478759766,50,"  90% mass"
34.4913680553436,50,"  90% mass"
57.3188290596008,50,"  90% mass"
38.3831429481506,50,"  90% mass"
53.2105610370636,50,"  90% mass"
34.2445859909058,50,"  90% mass"
49.9835810661316,50,"  90% mass"
54.8463530540466,50,"  90% mass"
72.7105770111084,50,"  90% mass"
43.7057220935822,50,"  90% mass"
64.7259979248047,50,"  90% mass"
54.1933238506317,50,"  90% mass"
51.2576630115509,50,"  90% mass"
24.4278960227966,10,"  95% mass"
23.2790260314941,10,"  95% mass"
26.8769509792328,10,"  95% mass"
25.3484408855438,10,"  95% mass"
23.7479910850525,10,"  95% mass"
23.0379960536957,10,"  95% mass"
22.2414109706879,10,"  95% mass"
24.6678011417389,10,"  95% mass"
