"Score","Observations","Pruning"
0.237703233810906,30,"100 nodes"
0.242403890022706,30,"100 nodes"
0.188649556322807,30,"100 nodes"
0.162241738653673,50,"100 nodes"
0.135056039833772,50,"100 nodes"
0.187453699471524,50,"100 nodes"
0.33706308765596,50,"100 nodes"
0.165881370484267,50,"100 nodes"
0.160645865514063,50,"100 nodes"
0.472055824093929,50,"100 nodes"
0.305177628514698,50,"100 nodes"
0.248185989926404,50,"100 nodes"
0.1789159421436,50,"100 nodes"
0.439912623392728,50,"100 nodes"
0.295316418227814,50,"100 nodes"
0.216059869710716,50,"100 nodes"
0.219620024779849,50,"100 nodes"
0.209871954604799,50,"100 nodes"
0.148655008807444,50,"100 nodes"
0.520838947973894,50,"100 nodes"
0.157700509276783,50,"100 nodes"
0.186329751271276,50,"100 nodes"
0.188886102606705,50,"100 nodes"
0.358126681940644,10,"  90% mass"
0.426761065265892,10,"  90% mass"
0.305533704198142,10,"  90% mass"
0.300823040495185,10,"  90% mass"
0.409281253811989,10,"  90% mass"
0.773326505033363,10,"  90% mass"
0.445792596435305,10,"  90% mass"
0.256355434528463,10,"  90% mass"
0.374508079191592,10,"  90% mass"
0.296874569980622,10,"  90% mass"
0.546549638457069,10,"  90% mass"
0.766379804283839,10,"  90% mass"
0.470082933515599,10,"  90% mass"
0.359604806224402,10,"  90% mass"
0.766823104950521,10,"  90% mass"
0.343935259241003,10,"  90% mass"
0.443894309250511,10,"  90% mass"
0.430864320586212,10,"  90% mass"
0.373139877434261,10,"  90% mass"
0.278228260007557,10,"  90% mass"
0.363222270686714,30,"  90% mass"
0.330843468475413,30,"  90% mass"
0.350561929791619,30,"  90% mass"
0.238937376730224,30,"  90% mass"
0.309395626050475,30,"  90% mass"
0.182352572678971,30,"  90% mass"
0.20913719358489,30,"  90% mass"
0.351175280866135,30,"  90% mass"
0.541877952990042,30,"  90% mass"
0.229135552629282,30,"  90% mass"
0.278001702928068,30,"  90% mass"
0.25750389630779,30,"  90% mass"
0.481980845928587,30,"  90% mass"
0.31066366691826,30,"  90% mass"
0.220939002531068,30,"  90% mass"
0.25089290245106,30,"  90% mass"
0.16952891807936,30,"  90% mass"
0.234569740986251,30,"  90% mass"
0.240373018276439,30,"  90% mass"
0.178451308600913,30,"  90% mass"
0.161901871140254,50,"  90% mass"
0.134417258718143,50,"  90% mass"
0.179355795665989,50,"  90% mass"
0.341971363195734,50,"  90% mass"
0.165011070998921,50,"  90% mass"
0.161315703552392,50,"  90% mass"
0.470495107504614,50,"  90% mass"
0.310620055707715,50,"  90% mass"
0.248246104478088,50,"  90% mass"
0.173026393549208,50,"  90% mass"
0.435992785726976,50,"  90% mass"
0.284617855848048,50,"  90% mass"
0.214641596582936,50,"  90% mass"
0.218064017375477,50,"  90% mass"
0.208179005910175,50,"  90% mass"
0.148800799508462,50,"  90% mass"
0.533907553447418,50,"  90% mass"
0.157325441848415,50,"  90% mass"
0.18620171847384,50,"  90% mass"
0.188073793323946,50,"  90% mass"
0.361098541474424,10,"  95% mass"
0.416597440484239,10,"  95% mass"
0.305297810598968,10,"  95% mass"
0.30162877511945,10,"  95% mass"
0.385496722765441,10,"  95% mass"
0.715670147085354,10,"  95% mass"
0.446643791897841,10,"  95% mass"
0.25928403057522,10,"  95% mass"
0.367967874767859,10,"  95% mass"
0.297635563505591,10,"  95% mass"
0.564327310146368,10,"  95% mass"
0.77380309066749,10,"  95% mass"
0.484900774981968,10,"  95% mass"
0.360640550110218,10,"  95% mass"
0.764457961451361,10,"  95% mass"
0.347422280657395,10,"  95% mass"
0.442451980850342,10,"  95% mass"
0.423532313487917,10,"  95% mass"
0.370802654360509,10,"  95% mass"
0.279749099143307,10,"  95% mass"
0.346851773853027,30,"  95% mass"
